HTX	hợp tác xã
CKQT	cửa khẩu quốc tế
PCMT	phòng chống ma tuý
NX	nhận xét
PMH	phiếu mua hàng
KCNC	khu công nghệ cao
HTXNN	hợp tác xã nông nghiệp
CBTT	công bố thông tin
TPDN	trái phiếu doanh nghiệp
TCTN	trợ cấp thất nghiệp
NDCM	nhân dân cách mạng
HMTN	hiến máu tình nguyện
PCTHTL	phòng chống tác hại thuốc lá
CHKQT	cảng hàng không quốc tế
GDCD	giáo dục công dân
LHPNVN	liên hiệp phụ nữ Việt Nam
LNTT	lợi nhuận trước thuế
QTDND	quỹ tín dụng nhân dân
DVMTR	dịch vụ môi trường rừng
CTRL	control
PKL	phân khối lớn
QSMT	quay số mở thưởng
THADS	thi hành án dân sự
SGGPO	Sài Gòn giải phóng
VSATTP	vệ sinh an toàn thực phẩm
ANTV	an ninh ti vi
ANND	an ninh nhân dân
NSUT	nghệ sĩ ưu tú
ANTG	an ninh thế giới
UTGT	ùn tắc giao thông
VAC	vườn ao chuồng
QPAN	quốc phòng an ninh
CATW	công an trung ương
UBDT	Uỷ ban Dân tộc
ANQG	an ninh quốc gia
ANCT	An ninh chính trị
ANĐT	An ninh điều tra
ANTQ	An ninh tổ quốc
ATGT	An toàn giao thông
ATNĐ	Áp thấp nhiệt đới
ATTP	An toàn thực phẩm
ATTT	An toàn Trật tự
ATTTGT	An toàn Trật tự Giao thông
ATVSTP	An toàn vệ sinh thực phẩm
BBCVT	Bộ Bưu chính Viễn thông
BBT	Ban biên tập
BCĐ	Ban chỉ đạo
BCĐĐMĐH	Ban chỉ đạo đổi mới đại học
BCĐQG	Ban chỉ đạo Quốc gia
BCĐT	Bưu chính điện tử
BCĐTS	Ban chỉ đạo tuyển sinh
BCH	Ban chấp hành
BCHCD	Ban chỉ huy chiến dịch
BCHQS	Bộ chỉ huy quân sự
BCT	bộ chính trị
BCVT	Bưu chính Viễn thông
BĐN	Bồ đào nha
BĐS	Bất động sản
BĐVN	Bóng đá Việt Nam
BGD	Bộ Giáo dục
BGH	Ban giám hiệu
BGK	Ban giám khảo
BHĐC	Bán hàng đa cấp
BHL	Ban huấn luyện
BHXH	Bảo hiểm xã hội
BHYT	Bảo hiểm y tế
BKS	Biển Kiểm soát
BLHS	Bộ luật Hình sự
BQL	Ban quản lý
BQLDA	Ban Quản lý dự án
BST	Bộ sưu tập
BTBNN	Bảo trợ bệnh nhân nghèo
BTC	Ban tổ chức
BTS	Ban tuyển sinh
BTV	Biên tập viên
BTVH	Bổ túc Văn hóa
BVĐK	Bệnh viện Đa khoa
BVTV	Bảo vệ thực vật
BXL	Bộ xử lý
CAHN	Công an Hà Nội
CAND	Công an nhân dân
CATP	Công an Thành phố
CBCC	Cán bộ công chức
CBCNV	Cán bộ công nhân viên
CBCS	Cán bộ chiến sĩ
CBQLGD	Cán bộ quản lý giáo dục
CCB	Cựu chiến binh
CCHC	Cải cách hành chính
CĐDC	Chất độc da cam
CĐSP	Cao đẳng Sư phạm
CĐV	Cổ động viên
CHDC	Cộng hòa dân chủ
CHDCND	Cộng hòa dân chủ nhân dân
CHLB	Cộng hòa Liên bang
CHND	Cộng hòa Nhân dân
CLB	Câu lạc bộ
CMND	Chứng minh nhân dân
CNCN	Chi nhánh Cấp nước
CNH	Công nghiệp hóa
CNKT	Công nhân kỹ thuật
CNQSDĐ	Chứng nhận quyền sử dụng đất
CNSH	Công nghệ sinh học
CNTN	Cử nhân tài năng
CNTT	Công nghệ thông tin
CNV	Công nhân viên
CNVC	Công nhân viên chức
CPH	Cổ phần hóa
CPTD	Cổ phiếu tự do
CPTTT	Chậm phát triển trí tuệ
CPXD	Cấp phép xây dựng
CQĐT	Cơ quan điều tra
CSCĐ	Cảnh sát cơ động
CSDC	Cảnh sát dã chiến
CSDL	Cơ sở Dữ liệu
CSĐN	Cảnh sát đặc nhiệm
CSĐT	Cảnh sát điều tra
CSĐTLX	Cơ sở đào tạo lái xe
CSĐTTP	Cảnh sát Điều tra tội phạm
CSĐTTPMT	Cảnh sát điều tra tội phạm ma túy
CSG	Cảng sài gòn
CSGT	Cảnh sát giao thông
CSHS	Cảnh sát Hình sự
CSKH	Chăm sóc khách hàng
CSKT	Cảnh sát kinh tế
CSKV	Cảnh sát khu vực
CSPK	Công suất phản kháng
CSQLHC	Cảnh sát Quản lý hành chính
CSSX	Cơ sở sản xuất
CSVC	Cơ sở vật chất
CSVN	Cộng sản Việt Nam
CSXH	Chính sách xã hội
CTCC	Công trình Công cộng
CTCH	Chấn thương chỉnh hình
CTCK	Công ty chứng khoán
CTCLQG	Chương trình chống lao quốc gia
CTCN	Công ty Cấp nước
CTCP	Công ty Cổ phần
CTĐ	Chữ thập đỏ
CTĐL	Công ty Điện lực
CTN	Chuyển tiền nhanh
CTSN	Chấn thương sọ não
CTTC	Cho thuê tài chính
CTTH	Chương trình truyền hình
CTTNHH	Công ty Trách nhiệm Hữu hạn
CTTT	Chương trình tiên tiến
CTV	Cộng tác viên
CTXH	Công tác xã hội
CVPM	Công viên phần mềm
DAGTĐT	Dự án giao thông đô thị
ĐBDT	Đồng bào dân tộc
ĐBP	Điện biên phủ
ĐBQH	Đại biểu quốc hội
ĐBSCL	Đồng bằng sông Cửu Long
ĐBTN	Đại biểu thanh niên
ĐBTSXB	Đánh bắt thủy sản xa bờ
DCCH	Dân chủ Cộng hòa
ĐCS	Đảng cộng sản
ĐCSTQ	Đảng cộng sản Trung Quốc
ĐCSVN	Đảng cộng sản Việt Nam
DDVN	Duyên dáng việt nam
ĐHBC	Đại học Bán công
ĐHBK	Đại học Bách khoa
ĐHBKHN	Đại học Bách khoa Hà Nội
ĐHBKTPHCM	Đại học Bách khoa Thành phố Hồ Chí Minh
ĐHCĐ	Đại hội cổ đông
ĐHCLC	Đại học chất lượng cao
ĐHCN	Đại học Công nghệ
ĐHCT	Đại học Cần Thơ
ĐHĐCQT	Đại học đẳng cấp quốc tế
ĐHĐD	Đại học Đông Dương
ĐHDL	Đại học Dân lập
ĐHĐN	Đại học Đà nẵng
ĐHGTVT	Đại học Giao thông Vận tải
ĐHHB	Đại học Hồng Bàng
ĐHKH	Đại học Khoa học
ĐHKHTN	Đại học Khoa học tự nhiên
ĐHKHTNHN	Đại học Khoa học tự nhiên Hà nội
ĐHKHXH	Đại học Khoa học Xã hội
ĐHKT	Đại học Kỹ thuật
ĐHKTCN	Đại học Kỹ thuật Công nghệ
ĐHKTQD	Đại học Kinh tế Quốc dân
ĐHN	Điện hạt nhân
ĐHNT	Đại học Nha Trang
ĐHQG	Đại học Quốc gia
ĐHQGHN	Đại học Quốc gia Hà nội
DHS	Du học sinh
ĐHSP	Đại học Sư phạm
ĐKDT	Đăng ký dự thi
ĐKĐT	Điện kế điện tử
ĐKHK	Đăng ký hộ khẩu
ĐKKD	Đăng ký kinh doanh
ĐKKH	Đăng ký kết hôn
ĐKVĐ	Đương kim vô địch
ĐKVN	Điền kinh Việt Nam
ĐKXT	Đăng ký xét tuyển
ĐMN	Đá mỹ nghệ
ĐNA	Đông nam á
DNNN	Doanh nghiệp nhà nước
DNT	Doanh nghiệp trẻ
DNTN	Doanh nghiệp Tư nhân
DNVN	Doanh nghiệp Việt Nam
DNVVN	Doanh nghiệp vừa và nhỏ
ĐRL	Điểm rèn luyện
ĐSQ	Đại sứ quán
ĐTA	Đồng tính ái
ĐTB	Điểm trung bình
ĐTĐ	Đái tháo đường
ĐTDĐ	Điện thoại di động
DTHT	Dạy thêm học thêm
ĐTHVN	Đài truyền hình Việt Nam
ĐTLA	Đồng tính luyến ái
ĐTLT	Đào tạo liên thông
ĐTNN	Đầu tư nước ngoài
ĐTQG	Đội tuyển quốc gia
ĐTTX	Đào tạo từ xa
ĐTTXQM	Đào tạo từ xa Qua mạng
ĐTV	Điều tra viên
ĐTVHD	Động thực vật hoang dã
ĐTVN	Đội tuyển Việt Nam
ĐTXDCB	Đầu tư xây dựng cơ bả
ĐVHT	Đơn vị học trình
DVTMCM	Dịch vụ thương mại Cà Mau
ĐVTN	Đoàn viên thanh niên
DVTT	Dịch vụ trực tuyến
ĐVTTN	Đoàn viên thanh thiếu nhi
DVVL	Dịch vụ việc làm
GCMND	Giấy chứng minh nhân dân
GCN	Giấy chứng nhận
GCNĐKKD	Giấy chứng nhận đăng ký kinh doanh
GCNKQT	Giấy chứng nhận kết quả thi
GCNQSD	Giấy chứng nhận quyền sử dụng
GCNQSDĐ	Giấy chứng nhận quyền sử dụng đất
GCNQSH	Giấy chứng nhận quyền sở hữu
GCNQSHN	Giấy chứng nhận quyền sở hữu nhà
GCNSK	Giấy chứng nhận sức khỏe
GCQ	Giấy chủ quyền
GĐĐH	Giám đốc điều hành
GDGT	Giáo dục giới tính
GDNN	Giáo dục nghề nghiệp
GĐT	Gạch đồng tâm
GĐTLA	Gạch đồng tâm long an
GĐTT	Giám đốc thông tin
GDTX	Giáo dục thường xuyên
GHPGVN	Giáo hội Phật giáo Việt Nam
GMD	Gái mại dâm
GPLHĐB	Giấy phép lưu hành đặc biệt
GPLX	Giấy phép lái xe
GPMB	Giải phóng mặt bằng
GPTM	Giải phẫu thẩm mỹ
GPXD	Giấy phép xây dựng
GSTS	Giáo sư Tiến sỹ
GSTSKH	Giáo sư Tiến sỹ Khoa học
GSTT	Giám sát trọng tài
GTCC	Giao thông Công chánh
GTGT	Giá trị gia tăng
GTMT	Giãn tĩnh mạch tinh
GTNT	Giao thông nông thôn
GTVT	Giao thông vận tải
GVCN	Giáo viên chủ nhiệm
GVG	Giáo viên giỏi
GVMN	Giáo viên mầm non
GVTH	Giáo viên tiểu học
GVTN	Giáo viên tình nguyện
HAGL	hoàng anh gia lai
HCB	Huy chương bạc
HCĐ	Huy chương đồng
HCM	Hồ chí minh
HCTC	Học chế tín chỉ
HCTL	Hội chợ triển lăm
HCV	Huy chương vàng
HCVL	Hội chợ việc làm
HĐCD	Hội đồng chức danh
HĐCDGS	Hội đồng chức danh giáo sư
HĐCDGSCS	Hội đồng chức danh giáo sư cơ sở
HĐCDGSN	Hội đồng Chức danh giáo sư ngành
HĐCDGSNN	Hội đồng Chức danh giáo sư nhà nước
HĐCT	Hội đồng coi thi
HĐĐB	Hội đồng Đền bù
HĐĐG	Hội đồng định giá
HĐH	Hiện đại hóa
HĐKT	Hợp đồng kinh tế
HĐLĐ	Hợp đồng lao động
HĐND	Hội đồng nhân dân
HĐNDTP	Hội đồng nhân dân thành phố
HĐNT	Hội đồng nghệ thuật
HĐQT	Hội đồng Quản trị
HĐT	Hội đồng trường
HĐTĐ	Hội đồng thẩm định
HĐTS	Hội đồng tuyển sinh
HĐTT	Hội đồng Trọng tài
HDV	Hướng dẫn viên
HĐXX	Hội đồng xét xử
HHTG	Hoa hậu Thế giới
HHVN	Hoa hậu Việt Nam
HKDD	Hàng không dân dụng
HKDDVN	Hàng không dân dụng Việt Nam
HKHKT	Hội khoa học kỹ thuật
HKHKTVN	Hội khoa học kỹ thuật Việt Nam
HKTT	Hộ khẩu thường trú
HLBĐ	Hoa lâm bình định
HLQG	Huấn luyện Quốc gia
HLV	Huấn luyện viên
HMNĐ	Hiến máu nhân đạo
HND	Hội nông dân
HNGĐ	Hôn nhân gia đình
HNHT	Hội nghị hiệp thương
HPHN	Hòa phát hà nội
HQĐT	Hải quan điện tử
HQHP	Hải quan Hải phòng
HSBC	Học sinh bán công
HSĐKDT	Hồ sơ đăng ký dự thi
HSG	Học sinh giỏi
HSGQG	Học sinh giỏi Quốc gia
HSGQT	Học sinh giỏi Quốc tế
HSPT	Học sinh phổ thông
HSSV	Học sinh sinh viên
HSV	Hội sinh viên
HTCĐ	Học tập cộng đồng
HTND	hỗ trợ nông dân
HTXDVNN	Hợp tác xã dịch vụ nông nghiệp
HVANND	Học viện An ninh Nhân dân
HVBCVT	Học viện Bưu chính Viễn thông
HVCH	Học viên Cao học
HVCNBCVT	Học viện Công nghệ Bưu chính Viễn thông
HVKHQS	Học viện Khoa học Quân sự
HVN	Honda việt nam
HVNCL	Hàng Việt Nam chất lượng
HVNCLC	Hàng Việt Nam chất lượng cao
HVNH	Học viện Ngân hàng
KBNN	Kho bạc Nhà nước
KCB	Khám chữa bệnh
KCN	Khu công nghiệp
KCX	Khu chế xuất
KDC	Khu dân cư
KĐCL	Kiểm định chất lượng
KĐCLGD	Kiểm định chất lượng Giáo dục
KDCN	Kiểu dáng công nghiệp
KDDV	Kinh doanh dịch vụ
KDĐV	Kiểm dịch động vật
KDHĐC	Kinh doanh hàng đa cấp
KDL	Khu du lịch
KDN	Kinh doanh nhà
KDNPN	Kinh doanh nhà Phú Nhuận
KĐS	Khu đường sông
KĐT	Khu đô thị
KĐTM	Khu đô thị mới
KHCN	Khoa học Công nghệ
KHĐT	Kế hoạch Đầu tư
KHKD	Kế hoạch kinh doanh
KHKT	Khoa học kĩ thuật
KHKTHN	Khoa học Kỹ thuật Hạt nhân
KHKTHS	Khoa học kỹ thuật hình sự
KHKTNN	Khoa học kỹ thuật Nông nghiệp
KHKTNNMN	Khoa học kỹ thuật Nông nghiệp miền Nam
KHLS	Khoa học lịch sử
KHTN	Khoa học Tự nhiên
KHXH	Khoa học Xãn hội
KKT	Khu kinh tế
KLĐT	Kết luận điều tra
KLQG	Kỷ lục quốc gia
KNTC	Khiếu nại tố cáo
KSND	Kiểm sát nhân dân
KSNDTC	Kiểm sát Nhân dân Tối cao
KST	Ký sinh trùng
KSV	Kiểm sát viên
KTCN	kĩ thuật công nghệ
KTM	Khu thương mại
KTNN	Kinh tế nhà nước
KTQD	Kinh tế quốc dân
KTQDHN	Kinh tế Quốc dân Hà Nội
KTS	Kiến trúc sư
KTTV	Khí tượng thủy văn
KTV	Kỹ thuật viên
KTX	Ký túc xá
KV1	Khu vực 1
KV2	Khu vực 2
KV3	Khu vực 3
LCT	Luật Cạnh tranh
LĐBĐ	Liên đoàn bóng đá
LĐBĐVN	Liên đoàn bóng đá Việt Nam
LĐLĐ	Liên đoàn Lao động
LĐTB	Lao động Thương binh
LĐTBXH	Lao động Thương binh Xã hội
LHP	Liên hoan phim
LHPN	Liên hiệp phụ nữ
LHQ	Liên hiệp quốc
LHS	Lưu học sinh
LHTN	Liên hiệp Thanh niên
LLLĐ	Lực lượng lao động
LLVT	Lực lượng vũ trang
LSQ	Lãnh sự quán
LTQĐTD	Lây truyền qua đường tình dục
MBH	Mũ bảo hiểm
MHX	Mùa hè xanh
MTĐT	Máy tính điện tử
MTTQ	Mặt trận tổ quốc
MTTQVN	Mặt trận tổ quốc Việt Nam
MTXT	Máy tính xách tay
NCC	Nhà cung cấp
NCKH	Nghiên cứu khoa học
NCL	Ngoài công lập
NCS	Nghiên cứu sinh
NCTT	Nghiên cứu thị trường
NDT	Nhân dân tệ
NĐT	Nhà đầu tư
NĐVN	Người đẹp Việt Nam
NHCSXH	Ngân hàng chính sách xã hội
NHCTCN	Ngân hàng Công thương Chi nhánh
NHCTHP	Ngân hàng Công thương Hải Phòng
NHCTVN	Ngân hàng Công thương Việt Nam
NHĐA	Ngân hàng Đông Á
NHĐT	Ngân hàng Đầu tư
NHĐTPT	Ngân hàng Đầu tư phát triển
NHNN	Ngân hàng nhà nước
NHNNVN	Ngân hàng Nhà nước Việt Nam
NHNT	Ngân hàng Ngoại thương
NHTM	Ngân hàng Thương mại
NHTMCP	Ngân hàng thương mại cổ phần
NHTMNN	Ngân hàng thương mại nhà nước
NHTMQD	Ngân hàng thương mại quốc doanh
NKBV	Nhiễm khuẩn bệnh viện
NKKN	Nam kỳ khởi nghĩa
NKNV	Năng khiếu Nghiệp vụ
NKT	Người khuyết tật
NLĐ	Người lao động
NLMT	Năng lượng mặt trời
NLS	Nông lâm sản
NLTT	Năng lượng tái tạo
NMĐ	Nhà máy điện
NNCĐDC	Nạn nhân chất độc da cam
NNVN	nông nghiệp Việt Nam
NPP	Nhà phân phối
NQD	Ngoài quốc doanh
NSND	Nghệ sĩ nhân dân
NSNN	Ngân sách nhà nước
NST	Nhiễm sắc thể
NTBD	Nghệ thuật biểu diễn
NTD	Nhà tuyển dụng
NTK	Nhà thiết kế
NV1	Nguyện vọng 1
NV2	Nguyện vọng 2
NV3	Nguyện vọng 3
NVH	Nhà văn hóa
NVHTN	Nhà Văn hóa Thanh niên
NXB	Nhà xuất bản
NXBGD	Nhà xuất bản Giáo dục
NXBKHXH	Nhà xuất bản Khoa học Xã hội
NXBQĐND	Nhà xuất bản Quân đội Nhân dân
NXBTN	Nhà xuất bản Tự nhiên
PCBL	Phòng chống bão lụt
PCBTH	Phổ cập bậc trung học
PCC	Phòng công chứng
PCCC	Phòng cháy chữa cháy
PCGD	Phổ cập giáo dục
PCGDBTH	Phổ cập giáo dục bậc trung học
PCGDTH	Phổ cập giáo dục tiểu học
PCGDTHCS	Phổ cập giáo dục trung học cơ sở
PCLBMN	Phòng chống lụt bão miền Nam
PCT	Phó chủ tịch
PCTH	Phổ cập tiểu học
PCTHCS	Phổ cập trung học cơ sở
PCTN	Phòng chống tệ nạn
PCTNXH	Phòng chống tệ nạn xã hội
PCTPCNC	Phòng chống tội phạm công nghệ cao
PCTT	Phòng chống thiên tai
PGĐ	Phó giám đốc
PGHH	Phật giáo Hòa Hảo
PGS	Phó Giáo sư
PHHS	Phụ huynh học sinh
PTCS	Phổ thông cơ sở
PTN	Phòng thí nghiệm
PTNT	Phát triển Nông thôn
PTT	Phó thủ tướng
PTTH	Phổ thông trung học
PTTM	Phẫu thuật thẩm mỹ
PTTT	Phát triển trẻ thơ
PTV	Phát thanh viên
QBLTD	Quĩ bảo lãnh tín dụng
QCDC	Quy chế dân chủ
QCDCCS	Quy chế dân chủ cơ sở
QCGNHH	Quy chế ghi nhãn hàng hóa
QCHQ	Quan chức hải quan
QCKDTXD	Quy chế kinh doanh thép xây dựng
QCKT	Quy chuẩn kĩ thuật
QĐND	Quân đội nhân dân
QHTD	Quan hệ tình dục
QLD	Quản lý dược
QLDA	Quản lý dự án
QLĐT	Quản lý Đào tạo
QLTT	Quản lý thị trường
QSD	Quyền sử dụng
QSDĐ	Quyền sử dụng đất
QTKD	Quản trị Kinh doanh
RLC	Rối loạn cương
RLCD	Rối loạn cương dương
SBD	Số báo danh
SDĐ	Sử dụng đất
SDĐNN	Sử dụng đất nông nghiệp
SĐH	Sau đại học
SĐK	Số đăng ký
SĐNĐ	Sông đà nam định
SĐT	Số điện thoại
SĐTLA	Sơn đồng tâm long an
SGD	Sở giáo dục
SGGP	Sài gòn giải phóng
SGK	Sách giáo khoa
SGTT	Sài gòn tiếp thị
SGTVT	Sở Giao thông Vận tải
SHNN	Sở hữu nhà nước
SHTD	Sinh hoạt tình dục
SHTT	Sở hữu trí tuệ
SKHCN	Sở Khoa học Công nghệ
SKSS	Sức khỏe sinh sản
SLNA	Sông lam nghệ an
SMĐH	Sao mai Điểm hẹn
SNN	Sở Nông nghiệp
SPKT	Sư phạm kỹ thuật
SVĐ	Sân vận động
SVĐV	Sao vàng đất việt
SVHS	Sinh viên học sinh
SVNCKH	Sinh viên nghiên cứu khoa học
SVTN	Sinh viên tình nguyện
SVVN	Sinh viên Việt Nam
SXH	Sốt xuất huyết
SYLL	Sơ yếu lý lịch
TACN	Thức ăn chăn nuôi
TAND	Tòa án nhân dân
TANDTC	Tòa án Nhân dân Tối cao
TBD	Thái bình dương
TBKTSG	Thời báo kinh tế Sài Gòn
TBKTVN	Thời báo Kinh tế Việt Nam
TBMMN	Tai biến mạch máu não
TBT	Tổng biên tập
TBTT	Thuê bao trả trước
TBXH	Thương binh Xã hội
TCCN	Trung cấp chuyên nghiệp
TCCS	Tổ chức cơ sở
TCDL	Tổng cục Du lịch
TCHL	Tuyệt chủng hàng loạt
TCHQ	Tổng cục hải quan
TCMN	Thủ công mỹ nghệ
TCMR	Tiêm chủng mở rộng
TCN	Trung cấp nghề
TCNN	Tài chính nhà nước
TCS	Trịnh công sơn
TCT	Tổng công ty
TCTD	Tổ chức tín dụng
TCTT	Trò chơi trực tuyến
TCTTMSG	Tổng công ty Thương mại Sài Gòn
TCVN	Tiêu chuẩn Việt Nam
TCVSG	Thảo cầm viên sài gòn
TĐBKVN	Từ điển bách khoa việt nam
TĐC	Tái định cư
TDTT	Thể dục thể thao
TDTTQG	Thể dục thể thao Quốc gia
TDV	Trình dược viên
TGĐ	Tổng giám đốc
TGPL	Trợ giúp pháp lý
THCB	Trung học Chuyên ban
THCN	Trung học chuyên nghiệp
THCS	Trung học cơ sở
THCSNĐ	Thực hiện chính sách nhà đất
THDL	Trung học dân lập
THGT	Tín hiệu giao thông
THKTS	Truyền hình kỹ thuật số
THKTSMĐ	Truyền hình kỹ thuật số mặt đất
THPT	Trung học phổ thông
THQG	Thương hiệu quốc gia
THS	Tín hiệu số
THTT	Truyền hình trực tiếp
THVN	Truyền hình Việt Nam
THX	Tân hoa xã
TKCN	Tìm kiếm cứu nạn
TMCP	Thương mại cổ phần
TMĐT	Thương mại Điện tử
TMN	Thép miền nam
TNCN	Thu nhập cá nhân
TNCS	Thanh niên cộng sản
TNĐH	Tốt nghiệp đại học
TNDN	Thu nhập doanh nghiệp
TNĐT	Thoát nước Đô thị
TNGT	Tai nạn giao thông
TNHC	Trinh nữ hoàng cung
TNHH	Trách nhiệm hữu hạn
TNK	Thuế nhập khẩu
TNKQ	Trắc nghiệm khách quan
TNLN	Thanh niên lập nghiệp
TNMT	Tài nguyên Môi trường
TNND	Tiếng nói Nhân dân
TNNT	Thanh niên nông thôn
TNO	Thanh niên Online
TNSV	Thanh niên sinh viên
TNSVVN	Thanh niên sinh viên Việt Nam
TNT	Tình nguyện trẻ
TNTN	Thanh niên tình nguyện
TNTP	Thiếu niên Tiền phong
TNVN	Thanh niên Việt Nam
TNXH	Tệ nạn xã hội
TNXK	Thanh niên xung kích
TNXP	Thanh niên xung phong
TPCĐ	Trái phiếu chuyển đổi
TPCN	Thực phẩm chức năng
TPCT	Thành phố Cần Thơ
TPHCM	Thành phố hồ chí minh
TPO	Tiên phong Online
TSDĐ	Tiền sử dụng đất
TSKH	Tiến sỹ Khoa học
TSN	Tân sơn nhất
TSVM	Trong sạch vững mạnh
TTATGT	trật tự an toàn giao thông
TTATXH	trật tự an toàn xã hội
TTBĐS	Thị trường bất động sản
TTBDVH	Trung tâm bồi dưỡng văn hóa
TTBDVHNG	Trung tâm bồi dưỡng văn hóa ngoài giờ
TTBVQTG	Trung tâm bảo vệ quyền tác giả
TTBYT	Trang thiết bị y tế
TTCK	Trung tâm chứng khoán
TTCN	Tiểu thủ công nghiệp
TTCP	Thanh tra Chính phủ
TTCT	Thể thao cuối tuần
TTDD	Trung tâm Dinh dưỡng
TTĐM	Trung tâm Điện máy
TTDV	Trung tâm Dịch vụ
TTDVVL	Trung tâm Dịch vụ việc làm
