nchung,nói chung
concakkinhnien,con cặc kinh niên
đells,đéo
concac,con cặc
đá1,đái
vcut,vãi cứt
lon😀,lồn
cu🙃,cu
нọc,học
ѕιnн,sinh
địт,địt
nнaυ,nhau
тự,tự
qυay,quay
clιp,clip
хəм,xem
zái,dái
àduma,à đù má
lolz,lồn
hãmloz,hãm lồn
тổɴԍ,tổng
нợᴘ,hợp
cʟιᴘ,clip
cнéɴ,chén
ʀᴀu,rau
ɴuộт,nuột
xoac,xoạc
vclin,vãi cả lìn
đeohieukieugi,đéo hiểu kiểu gì
lonz,lồn
concard,con cặc
hãmlol,hãm lồn
vaix,vãi
ocschos,óc chó
zler,vãi lồn
bímm,bướm
xaml,xàm lồn
ᖇᗩᑌ,rau
ᑕᕼăᑎ,chăn
ᑕựᑕ,cực
tᖇàᑎ,tràn
ᑎướᑕ,nước
tᖇề,trề
ᗩe,anh em
ᑎào,nào
ᑕầᑎ,cần
tᕼì,thì
ᑎgᗩy,ngay
s3x,sex
sex🔞,sex
hamlol,hãm lồn
rồiđm,rồi địt mẹ
sιɴн,sinh
vιêɴ,viên
ɴԍực,ngực
мớι,mới
ɴнú,nhú
cнᴀт,chat
sᴇx,sex
тʀᴀι,trai
ʙạɴ,bạn
ʟιɴκ,link
ᴘнúт,phút
vlolngã,vãi lồn ngã
xaolin,xạo lồn
ᕼiếᑭ,hiếp
ᗪâᗰ,dâm
ᗷạᑎ,bạn
ᑕùᑎg,cùng
ᒪớᑭ,lớp
vãiiiii,vãi
anlon,ăn lồn
anlonnhe,ăn lồn nhé
ᕼọᑕ,học
ᑕấᑭ,cấp
ᗪắt,dắt
ᑎᕼᗩᑌ,nhau
ᖇồi,rồi
ᗩi,ai
ᑎgờ,ngờ
ᗷị,bị
ᑕᕼủ,chủ
ᑫᑌᗩy,quay
chossss,chó
vãii,vãi
vainon,vãi lồn
condilon,con đĩ lồn
vιᴅᴇo,video
мóc,móc
cuᴀ,cua
ԍáι,gái
нàɴԍ,hàng
xóм,xóm
quằɴ,quằn
quạιｖàｏ,quại vào
moé,má
buscu,bú cu
hãmlon,hãm lồn
cnxh,chủ nghĩa xã hội
đmcs,dm cộng sản
csxhcn,cộng sản xã hội chủ nghĩa
ᴀᴇ,ae
тнì,thì
ɴԍᴀʏ,ngay
dmcs5,dm cộng sản
chxhcnvn,cộng hòa xã hội chủ nghĩa việt nam
ａｎｈ,anh
clmm,cái lồn mẹ mày
hamlon,hãm lồn
ɢʀᴏᴜᴘ,group
xᴇᴍ,xem
ɴʜé,nhé
ｖàｏ,vào
äë,ae
đcs,đảng cộng sản
màaa,mà
dồiiiii,rồi
lynh,linh
lunnn,luôn
đóoo,đó
daubuoi,đầu buồi
dmcs,dm cộng sản
taychayninhduonglanngoc,tẩy chay NinhDươngLanNgọc
chiatay,chia tay
bướng'g,bướng
tócnamđẹp,tóc nam đẹp
nèeeee,nè
nhântâm,nhân tâm
chủdân,chủ dân
bạnnn,bạn
xinhhh,xinh
phukien,phụ kiện
bomtoc,bờm tóc
caitoc,cài tốc
keptoc,kẹp tóc
bongtai,bông tai
vongco,vòng cổ
vongtay,vòng tay
kinhcan,kính cận
donghogiare,đồng hồ giá rẻ
laodong,lao động
ngưngđổlỗi,ngưng đồ lỗi
đừngimlặng,đừng im lặng
nguoitre,người trẻ
hieubiet,hiểu biết
chịuuuu,chịu
đcsvn,đảng cộng sản việt nam
luônnn,luôn
waooo,wow
tinhanhem,tình anh em
tudaithienvuong,tứ đại thiên vương
rồi,rồi
cướp,cướp
ngonnn,ngon
nàyyyy,này
dmca,dm
giặc,giặc
bắc,bắc
ғuʟʟ,full
sốđiệnthoại,số điện thoại
ｎｇａｙ,ngay
lại,lại
tẹtt,tẹt
mìnhhh,mình
cuốivậy,cuối vậy
xuất,xuất
mạng,mạng
chuẩn,chuẩn
đánhrơi,đánh rơi
ᴇᴍ,em
ɴʜóᴍ,nhóm
ғʀᴇᴇ,free
đăɴɢ,đăng
ʙàɪ,bài
thếrác,rác
đỉnkkk,đỉnh
ngàynhóm,ngày nhóm
lợicộng,lợi cộng
cườirồi,cười rồi
nữađang,nữa đang
điênbớt,điên bớt
thôivà,thôi và
cứtvì,cứt vì
tướngnó,tướng nó
đúngnhưng,đúng nhưng
nhiềuchụp,nhiều chụp
chetmemay,chết mẹ mày
hâhhha,haha
nhỉthôi,nhỉ thôi
ơigiờ,ơi giờ
lật,lật
thấmdầu,thấm dầu
thôiii,thôi
nàooo,nào
vcnhưng,vc nhưng
rồiiii,rồi
đấutrườngâmnhạc,đấu trường âm nhạc
giọnghátviệt2019,giọng hát việt
mãiyêu,mãi yêu
tinnếu,tin nếu
ɢɪảᴍ,giảm
ᴋịᴄʜ,kịch
bócra,bóc ra
ćựć,cực
ńhíệt,nhiệt
chóooo,chó
tộiiii,tội
viềnxích,viền xích
bò,bò
căngmịn,căng mịn
congsan,cộng sản
chờiiiii,trời
sắccccc,sắc
taaaa,ta
caooo,cao
rồiiiiivà,rồi và
kháccả,khác cả
bvs,băng vệ sinh
condime,con đi mẹ
quáaaa,quá
êiiiiiiiiii,ê
luônchắc,luôn chắc
vclmuốn,vc muốn
cómà,có mà
luậtcộng,luật cộng
thằng's,thằng
bờm'm,bờm
đảngtọa,đản tọa
lườiii,lười
xhcn,xã hội chủ nghĩa
thoidai,thời đại
dmmmm,dm
tuoilon,tuổi lồn
nhậnnn,nhận
nãophải,não phải
senđm,sen dm
bananthongminh,bàn nà thông minh
biếttttt,biết
việtnam,việt nam
muối's,muối
êiiiiiiiiii,ê
yênnnn,yên
nonnếu,non nếu
treocổ,treo cổ
đóvậy,đó vậy
lợiko,lợi không
nhìuuuuu,nhiều
anhem,anh em
tuyển,tuyển
hệ,hệ
còntìnhcònnghĩacòntồntại,còn tình còn nghĩa còn tồn tại
hếttìnhhếtnghĩahoáhưvô,hết tình hết nghĩa hóa hư vô
màvợ,mà vợ
chịii,chị
bừnnnn,bần
dcsvn,đảng cộng sản việt nam
kìaaa,kìa
ôngtrời,ông trời
lạnếu,lạ nếu
vàongưng,vào ngưng
gửi,gửi
chetme,chết mẹ
đclm,địt con mẹ mày
nèbạn,nè bạn
tẩychay,tẩy chay
taooooo,tao
nhấttttt,nhất
emmà,em mà
khỗ,khổ
mìnhđã,mình đã
vclll,vãi cả lồn
nwngs,nứng
nhỉiiiiiiiiii,nhỉ
videoooo,video
vỡiiiii,vãi
ghiaaaa,ghê
quantum,quan tâm
thậttt,thật
dduma,dm
nátttttttt,nát
tộibạo,tội bạo
baoquocte,báo quốc tế
đieen,điên
chuộtttt,chuột
đấyyyyy,đấy
hiểuvừa,hiểu vừa
kiểmhàng,kiểm hàng
mìnhvà,mình và
tttây,tây
biếtđéo,biết đéo
chụpmà,chụp mà
hâhhaahha,haha
màtìm,mà tìm
nàytao,này tao
phimqua,phim qua
giávới,giá với
thoitrang,thời trang
sướngchị,sướng chị
500ae,500 ae
vớiiiii,với
zạyyyy,vậy
hếttttttttt,hết
tàucố,tàu cổ
duỵet,duyệt
cócó,có có
trinh🤣🤣🤣,trình
đkm,địt con mẹ
thếtưởng,thế tưởng
rồinó,rồi nó
ỏoooooooooo,ỏ
cuteeeeeee,cute
lộncáibàn,lộn cái bàn
chetcondime,chết con đĩ mẹ
bởi,bởi
cướp,cướp
lựcnhư,lực như
tròyy,trời
nhòi,lòi
trithucvn,tri thức việt nam
vncuộc,việt nam cuộc
hâhhahaahah,haha
chòiiiiii,trời
biarượu,bia rượu
nầy,này
nhiều,nhiều
màcòn,mà còn
congly,công lý
khítvừa,khít vừa
viêmvừa,viêm vừa
xờiiii,xời
yêuuuuuu,yêu
giảihơn,giải hơn
triiệuu,triệu
vàooo,vào
uầyyyy,uầy
concặtnèđức,con cặc nè đức
thôixin,thôi xin
khácchắc,khác chắc
mắtmón,mắt món
bạnhỏi,bạn hỏi
vuiii,vui
nẹee,nẹ
quênnn,quên
khácthấy,khác thấy
cáimolon,cái mồm lồn
dốimà,rồi mà
lắm,lắm
ranữa,ra nữa
cumback,comeback
dmc5,dm cộng sản 5
hâhhahha,haha
phếttttt,phết
vậyphụ,vậy phụ
củaviệt,của việt
thoithế,thôi thế
bxh,bảng xếp hạng
nóbên,nó bên
cayyy,cay
miễnphí,miễn phí
cươp,cướp
huhuhuuu,huhu
hâhhhaha,haha
kkkkkkkkkkkkkk,haha
kooooo,không
нᴅ,hd
ĩaaaaa,ỉa
điđcm,địt con mẹ
sốthành,số thành
ấyyy,ấy
ｖàｏ,vào
thiêndương,thiên dương
tăngcân,tăng cân
dinhdưỡng,dinh dưỡng
giảmcân,giảm cân
lợisữa,lợi sữa
bàbầu,bà bầu
cnxhvn,cộng hòa xã hội việt nam
đóoooooooo,đó
honggg,không
phòngvévũlinh,phòng vé vũ linh
gìgiờ,gì giờ
ngàymình,ngày mình
thếbonj,thế bọn
ơicái,ơi cái
nhóooo,nhá
trọc,trọc
9tháng,9 tháng
nungcackinhnien,nứng cặc kinh niên
zuiiii,vui
riênggg,riêng
đâuuuu,đâu
ơitui,ơi tui
bạchhhhh,bạch
hàaaaaaa,haha
chếttt,chết
kienthuc,kiến thức
luônmột,luôn một
toiiiiiiiiiiiiiii,toi
cuuuu,cứu
hayyyy,hay
cảnhăn,cả nhă
đi😂😂😂😂😂,đi
doumer,đù má
đâutự,đâu tự
fuckkk,fuck
hahhahah,haha
khennnnn,khen
dogs,chó
toooooo,to
nèee,nè
hamlonic,hãm lồn
nưsng,nứng
đâuchỉ,đâu chỉ
bình3lân,bình lân
hòooo,hò
ccđmm,cái địt mẹ
tiềnra,tiền ra
đứngmấy,đứng mấy
botay,bó tay
quốcnhóm,quốc nhóm
đồikhông,đồi không
côimột,côi một
rượuem,rượu em
chìmhơi,chìm hơi
trộmmmm,trộm
yêunhưng,yêu nhưng
toiiii,toi
quéeeee,qué
múp,ngon
màbạn,mà bạn
haaahaaaahaaaa,haha
quaaaaaa,qua
xinloiổng,xin lỗi ông
tốtsao,tốt sao
tròntròn,tròn
zma,vậy mà
quáaa,quá
lênnnnnn,lên
tiềnnhanh,tiền nhanh
ưnggg,ưng
xink's,xinh
trấtttt,chất
đisắp,đi sắp
đoume,đù má
thắngmạnh,thắng mạnh
mootj,một
tiếppp,tiếp
cẩuuu,cẩu
lươnggggg,lương
tiềnthì,tiền thì
bạnthật,bạn thật
ᕼơᑎ,hơn
tiếᑎg,tiếng
kᕼáᑕᕼ,khách
tᖇᑌᑎg,trung
ᑫᑌốᑕ,quốc
ᕼᗪ,hd
từᑎg,từng
ᑕọᑎg,cọng 
ᒪôᑎg,lông
ᗩᑎᕼ,anh
ᑕᒪiᑕk,click
ᑎᕼᗩ,nha
cầuthốngnhất,cầu thống nhất
hâhhahahahahahahaha,haha
vieclamnhatrang,việc làm nhatrang
nóibên,nói bên
saooooooo,sao 
đéll,đéo
đeeee,đê
trươtj,trượt
tròiii,trời
hóngggg,hóng
ngầmkhi,ngầm khi
cholúc,cho lúc 
lẻlàm,lẻ làm
trucotgiadinh,trụ cột gia đình
ᒪại,lại
rẻđồ,rẻ đồ
cayyyyyyyyyy,cay
maulanh,máu lạnh
nhàquên,nhà quên
rồiii,rồi
vớisamsungconngườilàsố1,với samsung con người là số 1
màyyyyyy,mày
häċk,hack
chxncn,cộng hòa xã hội chủ nghĩa
mìnhhhh,mình
thuaaa,thua
đumá,đù má
zaiiii,trai
ditmem,địt mẹ
tặngkèm,tặng kèm
disme,địt mẹ
đĩcái,đĩ cái
anhyêu,anh yêu
lunnnn,luôn
nóidc,nói được
hơnra,hơn ra
chứhãy,chứ hãy
khachhangthanyeu,khách hàng thân yêu
đcchơi,được chơi
tiềnkiếm,tiền kiếm
vlonn,vãi lồn
vàngđổi,vàng đổi
điiiiiiiiiiiiiii,đi
nhébọn,nhé bọn
viêtnamzi,việt nam
cuôicungf,cuối cùng
niceeee,nice
ạhhh,ạ
ᴍìɴʜ,mình
ᴄʜấᴛ,chất 
ᴄʟɪᴄᴋ,click
ᴛʜử,thử
gdcd,giáo dục công dân
chậu🥴🥴🥴,chậu
emmmmmm,em
đmmmm,địt mẹ
cuocsongantoan,cuộc sống an toàn
khônggg,không
cácờ,cá cờ
nàooooo,nào
ngonnnnn,ngon
vclllll,vãi cả lồn
rõ,rõ
xéooooo,xéo
xéooooo,xéo
đúmmedia,đụ má 
ngườinhưng,người nhưng
emmmm,em
viếtanh,viết nah
triếttt,triết
cò's,cò
ơi'ii,ơi
anhhh,anh
răngcảm,răng cảm
ngayhối,ngay hối
vìanh,vì anh
làgió,là gió
đumami,đụ má mày
rồicái,rồi cái
sói'i,sói 
cuteeee,cute
mìnhđào,mình đào
tếtcó,tết có
ơiiiiiiii,ơi
ᴍấᴛ,mất
ʟậᴘ,lập
ʟạɪ,lại
ᴍớɪ,mới
ǫᴜᴀ,qua
xinloiduocchua,xin lỗi được chưa
hayyyyy,hay
cóchiến,có chiến
nhậnđây,nhận đây
thôichứ,thôi chứ
ngườivào,người vào
bunglốp,bung lốp
cùngthơm,cùng thơm
xuânchỗ,xuân chỗ
ngầnlại,ngần lại
đmmdmmdmd,địt mẹ
matdayy,mất dạy
xonggg,xong
thèmmmm,thèm
dmhochiminh,dm hồ chí minh
ỉaaaaa,ỉa
mặtnạhoàngcung,mặt nạ hoàng cung
cámơn,cảm ơn
immemom,im mẹ mồm
tứclà,tức là
taoooo,tao
đâuu,đâu
khuyenmai,khuyến mại
thôinói,thôi nói
nguyênlý,nguyên lý
ơiidịch,ơi dịch
dàiib,dài
xĩuuuu,xĩu
bớtghi,bớt ghi
hếtthật,hết thật
kháctội,khác tôi
trâucửu,trâu cửu
vềthất,về thất
quêchấm,quê chấm
đờingũ,đời ngũ
trờilục,trời lục
anhyeu,anh yêu
dờiii,trời
ấyấy,ấy ấy
hahhahaah,haha
ċùnġ,cùng
ġáï,gái
ċäö,cao
kiàaaaaa,kìa
tuoitre,tuổi trẻ
đỉnhhhhhhhh,đỉnh
sᴀʟᴇ,sale
ᴛᴏàɴ,toàn
ᴄáᴄ,các
ʜãɴɢ,hãng
ɴɢᴀʏ,ngay
tiềnbây,tiên bây
đãaa,đã
dklm,địt con mẹ
lắmđừng,lắm đừng
rùiiii,rồi
ʜᴀᴄᴋ,hack
ᴄᴀᴍᴇʀᴀ,camera
ᴄủᴀ,của
ᴄʜồɴɢ,chồng
ᴛʀẻ,trẻ 
ʟàᴍ,làm
ᴛìɴʜ,tình
ᴘʜê,phê
condingheokho,con đĩ nghèo khổ
nèeee,nè
nhận,nhận
gọi,gọi
cáiii,cái
vàotrách,vào trách
cáivào,cái vào
hahaaaa,haha
kòi,còi
đấyanh,đấy anh
rửamặt,rửa mặt
vlll,vl
ạaaa,ạ
csản,cộng sản
dkmm,địt con mẹ mày
ᴍᴏᴍ,mom
hiuhiu,haha
hmmm,hừm
ngkhac,người khác
vatoi,và tôi
cuteeee,cute
laodong,lao động
hahahahaha,haha
ｎｇａｙ,ngay
bocphot,bóc phốt
cơmtừthiện,cơm từ thiện
điiiiii,đi
èooo,èo
vleu,vl
saoo,sao
chưởi,chửi
rungliệt,rung liệt
☎️zalo,zalo
kiatrao,kia trai
ahahha,haha
nhậnchúc,nhận chức
lạimà,lại mà
trasuathaixanh,trà sữa thái xanh
lanbài,lan bài
rểnghĩa,rể nghĩa
anninhthudo,an ninh thủ đô
chóshopee,chó shoppe
xắcccc,xắc
đoois,đối
nhaaaaaaaa,nha
miềnbị,miền bị
congly,công lý
dânkhông,dân không
ménnnn,mén
quán's,quán
hoàngtư,hoàng tử
depsieunhe,dép siêu nhẹ
gáinói,gái nói
đuyy,đĩ
đccó,được có
raaaaa,ra
đâutrc,đâu trước
thổloại,thể loại
kimcuong,kim cương
thoiiiii,thôi
nooooo,no
ｖàｏ,vào
hãng's,hãng
truấttttt,chất
chàiiiiia,trời
ơihttps,ơi
hơhơ,haha
cuuuuut,cut
thôiiii,thôi
gkee,ghê
hottt,hot
xincamon,xin cảm ơn
yeahhhh,yeah
chấttttt,chất
nunwgs,nứng
dkkkkkmmmm,địt con mẹ
người😌,người
chuibiến,chui biến
tüổï,tuổi
đijt,địt
mêêêê,mê
chấmmmmm,chấm
xinloiem,xin lỗi em
kkkkkkkkkkkk,haha
đẹppppp,đẹp
hahahahahah,haha
đẹpchứ,đẹp chứ
adhóng,ad hóng
kinhchẳng,kinh chẳng
naymoiws,nay mới
ùimới,rồi mới
volang,vô lăng
ơicảm,ơi cảm
diiaaa,yeah
sangggggg,sang
huhukinh,huhu kinh
tươiii,tươi
đâuuu,đâu
rùiii,rồi
lềuuuuuuuuu,lồn
xechứ,xe chứ
tiềnbốc,tiền bốc
ơivề,ơi về
giaaan,gian
đihóng,đi hóng
lậậnnnha,lận nha
ranhanh,ra nhanh
tâmko,tâm không
khókkk,khóc
hơiiiiiiii,hơi
bạnnnnnn,bạn
ddaau,đâu
đjnk,đỉnh
dmmm,địt mẹ
lênnn,lên
đôgns,đống
vlozz,vãi lồn
kienthuc,kiến thức
hiểmcảnh,hiểm cảnh
bénhưng,bé nhưng
laptrinhvientv,lập trình viên
khongbanbenhungmaysedocduocthoi,không bạn bè nhưng mày sẽ đọc được thôi
hêhhehheh,haha
tuoitre,tuổi trẻ
siêuuu,siêu
heeeee,ge
uhhh,huhu
nhaunhưng,nhau nhưng
nhiềutt,nhiều
kòy's,còi
rồithôi,rồi thôi
gohome,go home
lữaaaa,nữa
pleaseeee,please
luôngggggg,luôn
sắccc,sắc
dthuon,dễ thương
hônnnn,hôn
cầu,cầu
deeee,đê
côvit,covid
vllllllll,vl
màaaaaa,mà
ánnhh,ánh
'hãy,hãy
nào'',nào
đấylúc,đấy lúc
⚠️⚠️chuyên,chuyên
zuiiiiii,vui
kòyɞ,còi
đưpj,đẹp
yotuber,youtuber
cạaa,cạ
iuuuu,yêu
loonf,lồn
concu,con cu
nhỉhíhí,nhỉ haha
đaucó,đâu có
đouma,đù má
dungmeo,đừng mà
nhưvay,như vậy
tứcvà,tức và
kuku,huhu
xuất”em,xuất em
hâhhaa,haha
chứghét,chứ ghét
ấyđã,ấy đã
trungthứ,trung thứ
ảothứ,ảo thứ
xinratayrútluithôi,xin ra tay rút lui thôi
ahihimà,haha mà
kocho,không cho
hâhhaha,haha
huhuhuhuhu,huhu
thươngvongo,thương vong
đóchúng,đó chúng
tìnhnhư,tình như
daynha,đây nha
nguồncoppygari,nguồn coppy
cucuoithoimackedoi,cứ cười mặc kệ đời
batdau,bắt đầu
vaketthuc,và kết thúc
điiiiii,đi
truoejt,trượt
giưỡng,dưỡng
